"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
0 0.1547 0.001615 0.00208 0.001794 0.002311 0.00321 0.00404 0 0 0 0.001835 0 0.00269 0.00128 0.00274 0.00038 0.002 0.0004151 0.0003911 0.0003438 0.0003372 0.00832 0.02258 0.00708 0.003942 0.0062 0.00443 0.00708 0.00548 0.00633 0.00418 0 0.002219 0.003255 0 0 0 0 0 0 0 0 0 0 0 0.024891 0.024036 0.023295 0.022467 0 0 0 0 0.001295 0 0 0 0 0 0 0
1 0.06349 0.00068 0.000815 0.000755 0.000906 0.00136 0.00158 0 0 0 0.000778 0 0.001053 0.00046 0.00095 0.00038 0.00069 0.0001843 0.0002025 0.0001527 0.0001568 0.00207 0.00577 0.00176 0.00154 0.00167 0.00164 0.00176 0.00094 0.001 0.00107 0 0.00094 0.001274 0 0 0 0 0.000531 0.000592 0 0 0 0 0 0.002292 0.002182 0.002291 0.002152 0 0.000571 0.000637 0 0.001295 0 0 0 0 0.000571 0.000637 0
2 0.0355 0.000353 0.000454 0.000392 0.000504 0.000703 0.000887 0 0 0 0.000402 0 0.000591 0.00025 0.00048 0.0002 0.00035 0.0001048 0.000135 0.0001159 0.0000941 0.00179 0.00414 0.00152 0.00138 0.00141 0.00149 0.00152 0.00067 0.00075 0.00099 0 0.000486 0.000715 0 0 0 0 0.000346 0.0004 0 0 0 0 0 0.001255 0.001198 0.001188 0.001132 0 0.000372 0.00043 0 0.001295 0 0 0 0 0.000372 0.00043 0
3 0.02391 0.000261 0.000367 0.00029 0.000408 0.000521 0.000715 0 0 0 0.000298 0 0.000476 0.00016 0.0003 0.00013 0.00022 0.0000732 0.0001068 0.0000791 0.0000688 0.00172 0.00338 0.00146 0.00132 0.00135 0.00143 0.00146 0.0006 0.00068 0.00098 0 0.00036 0.000576 0 0 0 0 0.000258 0.000332 0 0 0 0 0 0.000922 0.00088 0.000778 0.00075 0 0.000278 0.000357 0 0.001295 0 0 0 0 0.000278 0.000357 0
4 0.0177 0.000209 0.000321 0.000232 0.000357 0.000419 0.000627 0 0 0 0.00024 0 0.000417 0.00012 0.00022 0.0001 0.00016 0.00006 0.0000948 0.0000576 0.0000582 0.00165 0.00299 0.0014 0.001265 0.00129 0.001375 0.0014 0.00053 0.00061 0.00095 0 0.00029 0.000505 0 0 0 0 0.000194 0.000259 0 0 0 0 0 0.000699 0.000659 0.000568 0.000552 0 0.000208 0.000278 0 0.001295 0 0 0 0 0.000208 0.000278 0
5 0.0136 0.000171 0.000291 0.000189 0.000324 0.000339 0.000566 0 0.00037 0.000215 0.000194 0.000419 0.000377 0.0001 0.00018 0.00008 0.00013 0.0000551 0.0000906 0.0000494 0.0000543 0.00159 0.00276 0.00135 0.001215 0.00124 0.001325 0.00135 0.00047 0.00055 0.0009 0 0.000234 0.000456 0.000171 0.00019 0.00038 0.000342 0.000175 0.000237 0 0 0 0 0 0.000479 0.000469 0.000442 0.000432 0 0.000188 0.000255 0 0.001295 0 0 0 0 0.000188 0.000255 0
6 0.01137 0.000141 0.00027 0.000156 0.000301 0.000278 0.000526 0 0.00038 0.000178 0.00016 0.000389 0.00035 0.00009 0.00016 0.00007 0.00012 0.0000543 0.0000909 0.0000471 0.0000539 0.00153 0.00261 0.0013 0.00117 0.00119 0.00128 0.0013 0.00041 0.00049 0.00086 0 0.000193 0.000424 0.00014 0.000156 0.000353 0.000318 0.000163 0.000227 0 0 0 0 0 0.000385 0.000372 0.00036 0.000354 0 0.000176 0.000244 0 0.001295 0 0 0 0 0.000176 0.000244 0
7 0.00975 0.000118 0.000257 0.000131 0.000286 0.000234 0.0005 0 0.00039 0.000149 0.000134 0.00037 0.000333 0.00009 0.00015 0.00007 0.00011 0.0000558 0.0000938 0.0000475 0.0000555 0.00148 0.00247 0.00126 0.001135 0.00115 0.001245 0.00126 0.00036 0.00044 0.0008 0 0.000162 0.000403 0.000118 0.000131 0.000336 0.000302 0.000153 0.000217 0 0 0 0 0 0.000314 0.000301 0.000306 0.000302 0 0.000165 0.000234 0 0.001295 0 0 0 0 0.000165 0.000234 0
8 0.00863 0.000118 0.000294 0.000131 0.000328 0.000207 0.000487 0 0.0004 0.000149 0.000134 0.000391 0.000352 0.00009 0.00015 0.00008 0.00011 0.0000588 0.0000987 0.0000496 0.0000584 0.00145 0.00231 0.00123 0.001115 0.00112 0.00122 0.00123 0.00032 0.0004 0.00076 0 0.000143 0.000392 0.000104 0.000116 0.000327 0.000294 0.000137 0.000201 0 0 0 0 0 0.000281 0.000269 0.000271 0.000268 0 0.000147 0.000216 0 0.001295 0 0 0 0 0.000147 0.000216 0
9 0.0079 0.000121 0.000325 0.000134 0.000362 0.000193 0.000482 0 0.00041 0.000151 0.000136 0.000409 0.000368 0.00011 0.00016 0.00009 0.00012 0.0000627 0.0001052 0.0000526 0.0000624 0.00142 0.00212 0.00121 0.00111 0.00111 0.00121 0.00121 0.0003 0.00037 0.00074 0 0.000134 0.000389 0.000097 0.000108 0.000324 0.000292 0.00013 0.000194 0 0 0 0 0 0.000273 0.000261 0.000251 0.000248 0 0.00014 0.000209 0 0.001295 0 0 0 0 0.00014 0.000209 0
